Nama Tim,GF,GA,GD,PTS
Bayer 04 Leverkusen,89,24,65,90
VFB Stuttgart,78,39,39,73
FC Bayern Munich,94,45,49,72
RB Leipzig,77,39,38,65
Borussia Dortmund,68,43,25,63
Eintracht Frankfurt,51,50,1,47
TSG 1899 Hoffenheim,66,66,0,46
FC Heidenheim,50,55,-5,42
Werder Bremen,48,54,-6,42
SC Freiburg,45,58,-13,42
FC Augsburg,50,60,-10,39
VFL Wolfsburg,41,56,-15,37
FSV Mainz 05,39,51,-12,35
Borussia Mâ€™Gladbach,56,67,-11,34
FC Union Berlin,33,58,-25,33
VFL Bochum,42,74,-32,33
FC Koln,28,60,-32,27
SV Darmstadt 98,30,86,-56,17