Nama Tim,GF,GA,GD,PTS
Paris Saint-Germain,81,33,48,76
AS Monaco,68,42,26,67
Stade Brestois,53,34,19,61
Lille OSC,52,34,18,59
OGC Nice,40,29,11,55
Olympique Lyonnais,49,55,-6,53
RC Lens,45,37,8,51
Olympique de Marseille,52,41,11,50
Stade de Reims,42,47,-5,47
Stade Rennais,53,46,7,46
Toulouse FC,42,46,-4,43
Montpellier HSC,43,48,-5,41
RC Strasbourg Alsace,38,50,-12,39
FC Nantes,30,55,-25,33
Le Havre AC,34,45,-11,32
FC Metz,35,58,-23,29
FC Lorient,43,66,-23,29
Clermont Foot,26,60,-34,25