Team,GF,GA,GD,Points
Manchester City,96,34,62,91
Arsenal,91,29,62,89
Liverpool,86,41,45,82
Aston Villa,76,61,15,68
Tottenham Hotspur,74,61,13,66
Chelsea,77,53,14,63
Newcastle United,85,62,23,60
Manchester United,57,58,-1,60
West Ham United,60,74,-14,52
Crystal Palace,57,58,-1,49
Brighton,55,62,-7,48
Bournemouth,54,67,-13,48
Fulham,55,61,-6,47
Wolves,50,65,-15,46
Everton,40,51,-11,30
Brentford,56,65,-9,39
Nottingham Forest,49,67,-18,32
Luton Town,52,85,-33,26
Burnley,41,78,-37,24
Sheffield United,35,104,-69,16